ASN: 14746 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 48053 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 26100 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 46177 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 14280 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 23377 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 10431 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 18995 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 7610  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 39832 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 36416 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 32205 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 25640 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 54149 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 55850 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 5663  , min_dist: 5, vp: planetlab5.eecs.umich.edu.csv 
ASN: 27198 , min_dist: 5, vp: planetlab5.eecs.umich.edu.csv 
ASN: 10886 , min_dist: 5, vp: planetlab5.eecs.umich.edu.csv 
ASN: 10578 , min_dist: 5, vp: planetlab5.eecs.umich.edu.csv 
ASN: 2495  , min_dist: 5, vp: planetlab5.eecs.umich.edu.csv 
ASN: 27595 , min_dist: 5, vp: planetlab5.eecs.umich.edu.csv 
ASN: 20080 , min_dist: 5, vp: planetlab5.eecs.umich.edu.csv 
ASN: 27405 , min_dist: 5, vp: planetlab5.eecs.umich.edu.csv 
ASN: 5050  , min_dist: 5, vp: planetlab5.eecs.umich.edu.csv 
ASN: 2637  , min_dist: 5, vp: planetlab5.eecs.umich.edu.csv 
ASN: 10755 , min_dist: 5, vp: planetlab5.eecs.umich.edu.csv 
ASN: 229   , min_dist: 5, vp: planetlab5.eecs.umich.edu.csv 
ASN: 7660  , min_dist: 5, vp: planetlab6.goto.info.waseda.ac.jp.csv
ASN: 23623 , min_dist: 5, vp: planetlab6.goto.info.waseda.ac.jp.csv
ASN: 3943  , min_dist: 5, vp: planetlab6.goto.info.waseda.ac.jp.csv
ASN: 3549  , min_dist: 5, vp: ricepl-2.cs.rice.edu.csv      
ASN: 174   , min_dist: 5, vp: ricepl-2.cs.rice.edu.csv      
ASN: 6453  , min_dist: 5, vp: ricepl-2.cs.rice.edu.csv      
ASN: 22442 , min_dist: 5, vp: ricepl-2.cs.rice.edu.csv      
ASN: 63344 , min_dist: 5, vp: ricepl-2.cs.rice.edu.csv      
ASN: 30372 , min_dist: 5, vp: ricepl-2.cs.rice.edu.csv      
ASN: 20277 , min_dist: 5, vp: ricepl-2.cs.rice.edu.csv      
ASN: 16276 , min_dist: 5, vp: ricepl-2.cs.rice.edu.csv      
ASN: 10905 , min_dist: 5, vp: ricepl-2.cs.rice.edu.csv      
ASN: 30049 , min_dist: 5, vp: ricepl-2.cs.rice.edu.csv      
ASN: 20099 , min_dist: 5, vp: ricepl-2.cs.rice.edu.csv      
ASN: 7843  , min_dist: 6, vp: indiana.csv                   
ASN: 2721  , min_dist: 6, vp: indiana.csv                   
ASN: 53610 , min_dist: 6, vp: indiana.csv                   
ASN: 36089 , min_dist: 6, vp: indiana.csv                   
ASN: 6185  , min_dist: 6, vp: indiana.csv                   
ASN: 32703 , min_dist: 6, vp: indiana.csv                   
ASN: 27216 , min_dist: 6, vp: indiana.csv                   
ASN: 6407  , min_dist: 6, vp: indiana.csv                   
ASN: 6200  , min_dist: 6, vp: indiana.csv                   
ASN: 11142 , min_dist: 6, vp: indiana.csv                   
ASN: 3754  , min_dist: 6, vp: indiana.csv                   
ASN: 17    , min_dist: 6, vp: indiana.csv                   
ASN: 18997 , min_dist: 6, vp: indiana.csv                   
ASN: 812   , min_dist: 6, vp: indiana.csv                   
ASN: 1767  , min_dist: 6, vp: indiana.csv                   
ASN: 23404 , min_dist: 6, vp: indiana.csv                   
ASN: 63447 , min_dist: 6, vp: indiana.csv                   
ASN: 31800 , min_dist: 6, vp: indiana.csv                   
ASN: 19465 , min_dist: 6, vp: indiana.csv                   
ASN: 3676  , min_dist: 6, vp: indiana.csv                   
ASN: 7050  , min_dist: 6, vp: indiana.csv                   
ASN: 18786 , min_dist: 6, vp: indiana.csv                   
ASN: 41075 , min_dist: 6, vp: indiana.csv                   
ASN: 22964 , min_dist: 6, vp: indiana.csv                   
ASN: 22616 , min_dist: 6, vp: indiana.csv                   
ASN: 12173 , min_dist: 6, vp: indiana.csv                   
ASN: 11686 , min_dist: 6, vp: indiana.csv                   
ASN: 19551 , min_dist: 6, vp: indiana.csv                   
ASN: 14609 , min_dist: 6, vp: indiana.csv                   
ASN: 11636 , min_dist: 6, vp: indiana.csv                   
ASN: 23028 , min_dist: 6, vp: indiana.csv                   
ASN: 10764 , min_dist: 6, vp: indiana.csv                   
ASN: 26312 , min_dist: 6, vp: indiana.csv                   
ASN: 3128  , min_dist: 6, vp: indiana.csv                   
ASN: 42316 , min_dist: 6, vp: indiana.csv                   
ASN: 393950, min_dist: 6, vp: indiana.csv                   
ASN: 15127 , min_dist: 6, vp: indiana.csv                   
ASN: 25969 , min_dist: 6, vp: indiana.csv                   
ASN: 3452  , min_dist: 6, vp: indiana.csv                   
ASN: 26091 , min_dist: 6, vp: indiana.csv                   
ASN: 15003 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 8218  , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 61373 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 18590 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 20473 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 41960 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 20776 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 13447 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 42431 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 397126, min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 201838, min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 199441, min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 8100  , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 36408 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 13750 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 36224 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 395954, min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 54327 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 6327  , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 7203  , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 49453 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 11492 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 25956 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 36351 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 53131 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 28202 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 8057  , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 4943  , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 29909 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 286   , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
